StateName,DelayFlights
CA,745493
TX,712493
FL,302585
IL,262509
AZ,231645
GA,215435
NV,196060
MO,176156
NY,173366
PA,151400
NC,151381
VA,138510
CO,129599
MI,126055
TN,123639
OH,105111
KY,100288
UT,97515
WA,96958
MN,89768
MD,86425
NJ,73964
LA,67311
MA,63563
OK,61113
OR,58545
NM,51963
IN,41326
AL,39871
AK,38752
HI,35215
WI,26838
SC,25464
CT,24250
AR,21793
NE,20869
ID,20374
RI,20168
IA,14937
MT,14390
PR,13957
MS,11993
NH,11288
KS,7741
ME,6955
SD,6640
ND,6451
WY,3546
VT,3437
VI,3168
WV,3056
NA,2399
GU,603
DE,10
DC,0
